TSEAMCET-2017: LAST RANK STATEMENT (FIRST PHASE),,,,,,,,,,,,,,,,,,,,,,,,,,
inst_code,inst_name,place,Dist Name ,co_educ,college_type,year_of_estab,branch_code,branch_name,OC_            BOYS,OC_           GIRLS,BC_A_           BOYS,BC_A_        GIRLS,BC_B_        BOYS,BC_B_      GIRLS,BC_C_         BOYS,BC_C_          GIRLS,BC_D_           BOYS,BC_D_          GIRLS,BC_E_          BOYS,BC_E_             GIRLS,SC_                        BOYS,SC_                       GIRLS,ST_                 BOYS,ST_                    GIRLS,TUITION_FEE_2017,Affiliated_to
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,CSE,COMPUTER SCIENCE  AND  ENGINEERING,26907,27125,53422,58681,46626,46626,26907,27125,36899,36899,46903,68509,78913,78913,77625,80174,40000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,33871,35397,92618,99580,50653,59166,50849,50849,50473,62452,74022,74022,96526,98359,57034,57034,40000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,39938,44474,99883,99883,48234,57791,39938,44474,62568,85605,63614,76313,94687,98314,75107,75107,40000,JNTUH
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,2010,MEC,MECHANICAL ENGINEERING,38774,59195,84520,84520,72578,93262,38774,59195,62068,99863,70933,70933,84874,97275,78002,88834,40000,JNTUH
ACEG,A C E ENGINEERING COLLEGE,GHATKESAR,MDL,COED,PVT,2007,CIV,CIVIL ENGINEERING,33769,40014,71516,92443,54509,59758,85757,85757,44821,74708,81342,89434,95321,100687,54104,63880,68000,JNTUH
ACEG,A C E ENGINEERING COLLEGE,GHATKESAR,MDL,COED,PVT,2007,CSE,COMPUTER SCIENCE  AND  ENGINEERING,22063,22063,79120,79120,35996,37583,22063,89180,36974,36974,85135,103173,103480,103480,83799,83799,68000,JNTUH
ACEG,A C E ENGINEERING COLLEGE,GHATKESAR,MDL,COED,PVT,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,27256,27809,92992,92992,43298,45609,27256,27809,44623,47068,89473,89473,96162,96162,92726,97201,68000,JNTUH
ACEG,A C E ENGINEERING COLLEGE,GHATKESAR,MDL,COED,PVT,2007,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,35868,35868,92793,92793,45752,45752,45540,45540,45130,55976,95834,95834,97411,97411,71177,78980,68000,JNTUH
ACEG,A C E ENGINEERING COLLEGE,GHATKESAR,MDL,COED,PVT,2007,MEC,MECHANICAL ENGINEERING,41309,63621,90557,90557,61617,75076,41309,63621,52377,77087,70179,98920,77769,77769,90013,91694,68000,JNTUH
AHTC,ABHINAV HI-TECH COLLEGE OF ENGINEERING,MOINABAD,RR,COED,PVT,2002,CIV,CIVIL ENGINEERING,96450,96450,96450,100104,96450,98781,101944,101944,100243,102325,96450,101480,102385,102385,101829,101829,43900,JNTUH
AHTC,ABHINAV HI-TECH COLLEGE OF ENGINEERING,MOINABAD,RR,COED,PVT,2002,CSE,COMPUTER SCIENCE  AND  ENGINEERING,55587,55587,85926,90400,81614,81614,55587,55587,68409,74450,86383,86383,103033,103033,55587,55587,43900,JNTUH
