State_Name,District_Name,Crop_Year,Season,Crop,Water level(mm),Humidity,Temperature,Area,Type_ of _Soil ,Fertilizers,Cost_ of_ Production,Production
Telangana ,ADILABAD,2004,Kharif     ,Arhar/Tur,1000,73,26,36468, clay loams,0,103.3,15499
Telangana ,ADILABAD,2004,Kharif     ,Castor seed,500,73,26,513,well drained soil,1,220.9,2
Telangana ,ADILABAD,2004,Kharif     ,Cotton(lint),1000,73,26,177911,Sandy Soil,1,310.8,6066
Telangana ,ADILABAD,2004,Kharif     ,Dry chillies,500,73,26,6622,Sandy soil,1,160.9,134
Telangana ,ADILABAD,2004,Kharif     ,Gram,900,73,26,102,Sandy soil,1,182.5,25
Telangana ,ADILABAD,2004,Kharif     ,Groundnut,500,73,26,168,Sandy loam,1,195.7,1
Telangana ,ADILABAD,2004,Kharif     ,Horse-gram,800,73,26,10,Sandy  soil,1,178.4,1
Telangana ,ADILABAD,2004,Kharif     ,Jowar,700,73,26,27163,Clay soil,1,121.8,1
Telangana ,ADILABAD,2004,Kharif     ,Maize,650,73,26,20919,Clay soil,1,286,990
Telangana ,ADILABAD,2004,Kharif     ,Moong(Green Gram),1500,73,26,12037,Sandy loam,1,167.9,1
Telangana ,ADILABAD,2004,Kharif     ,Other Kharif pulses,900,73,26,1536,Sandy soil,1,179.5,2
Telangana ,ADILABAD,2004,Kharif     ,Rice,1700,73,26,35637,Clay Soil,1,213.3,29
Telangana ,ADILABAD,2004,Kharif     ,Sesamum,600,73,26,1222,Sandy soil,1,137.9,1
Telangana ,ADILABAD,2004,Kharif     ,Soyabean,550,73,26,58185,loamy soil,1,364.4,3
Telangana ,ADILABAD,2004,Kharif     ,Sunflower,400,73,26,2974,Sandy soil,1,85.6,9
Telangana ,ADILABAD,2004,Kharif     ,Urad,120,73,26,19024,Sandy loam,1,58,1
Telangana ,ADILABAD,2004,Rabi       ,Arhar/Tur,1000,73,26,3342, clay loams,1,103.3,1420
Telangana ,ADILABAD,2004,Rabi       ,Bajra,400,73,26,1230,Sandy soil,1,167.9,1
Telangana ,ADILABAD,2004,Rabi       ,Dry chillies,500,73,26,561,Sandy soil,1,160.9,158
Telangana ,ADILABAD,2004,Rabi       ,Gram,900,73,26,6998,Sandy soil,1,182.5,90
Telangana ,ADILABAD,2004,Rabi       ,Groundnut,500,73,26,3978,Sandy loam,1,195.7,4
Telangana ,ADILABAD,2004,Rabi       ,Horse-gram,800,73,26,1806,Sandy  soil,1,178.4,1
Telangana ,ADILABAD,2004,Rabi       ,Jowar,700,73,26,65999,Clay soil,1,121.8,4
Telangana ,ADILABAD,2004,Rabi       ,Linseed,750,73,26,3352,well drained soil,1,48.8,8
Telangana ,ADILABAD,2004,Rabi       ,Maize,650,73,26,5598,Clay soil,1,286,1149
Telangana ,ADILABAD,2004,Rabi       ,Moong(Green Gram),1500,73,26,6760,Sandy loam,1,167.9,2
Telangana ,ADILABAD,2004,Rabi       ,Onion,400,73,26,379,Sandy loam,1,409.1,13
Telangana ,ADILABAD,2004,Rabi       ,Other  Rabi pulses,850,73,26,1078,Sandy  soil,1,239.3,1
Telangana ,ADILABAD,2004,Rabi       ,Rapeseed &Mustard,800,73,26,55,loamy soil,1,152.5,1
Telangana ,ADILABAD,2004,Rabi       ,Rice,1700,73,26,3984,Clay Soil,1,213.3,46
Telangana ,ADILABAD,2004,Rabi       ,Safflower,100,73,26,546,well drained soil,1,42.1,2
Telangana ,ADILABAD,2004,Rabi       ,Sesamum,600,73,26,11598,Sandy soil,1,137.9,1
Telangana ,ADILABAD,2004,Rabi       ,Sunflower,400,73,26,2959,Sandy soil,1,85.6,18
Telangana ,ADILABAD,2004,Rabi       ,Urad,120,73,26,1452,Sandy loam,1,58,1
Telangana ,ADILABAD,2004,Rabi       ,Wheat,500,73,26,2895,Clay loam,1,140.1,1
Telangana ,ADILABAD,2004,Whole Year ,Banana,1700,73,26,71,Sandy Soil,1,339.4,21
Telangana ,ADILABAD,2004,Whole Year ,Cashewnut,2000,73,26,24,Sandy Soil,1,183.1,1
Telangana ,ADILABAD,2004,Whole Year ,Coriander,400,73,26,1500,well drained soil,1,261.3,1
Telangana ,ADILABAD,2004,Whole Year ,Garlic,100,73,26,138,Sandy loam,1,308.2,25
Telangana ,ADILABAD,2004,Whole Year ,Sugarcane,2000,73,26,131,Sandy loam,1,144.3,176
Telangana ,ADILABAD,2004,Whole Year ,Sweet potato,200,73,26,6,Clay Soil,1,88.1,12
Telangana ,ADILABAD,2004,Whole Year ,Tobacco,500,73,26,2,Sandy clay,1,140.9,3
Telangana ,ADILABAD,2004,Whole Year ,Turmeric,500,73,26,6407,Clay soil,1,200.2,5
Telangana ,ADILABAD,2005,Kharif     ,Arhar/Tur,1000,73,26,35993, clay loams,0,103.3,23359
Telangana ,ADILABAD,2005,Kharif     ,Castor seed,500,73,26,774,well drained soil,1,220.9,2
Telangana ,ADILABAD,2005,Kharif     ,Cotton(lint),1000,73,26,159415,Sandy Soil,1,310.8,8514
Telangana ,ADILABAD,2005,Kharif     ,Dry chillies,500,73,26,6250,Sandy soil,1,160.9,286
Telangana ,ADILABAD,2005,Kharif     ,Groundnut,500,73,26,86,Sandy loam,1,195.7,6
Telangana ,ADILABAD,2005,Kharif     ,Jowar,700,73,26,24420,Clay soil,1,121.8,15
Telangana ,ADILABAD,2005,Kharif     ,Maize,650,73,26,20852,Clay soil,1,286,1554
Telangana ,ADILABAD,2005,Kharif     ,Mesta,300,73,26,22,loamy soil,1,52.2,64
Telangana ,ADILABAD,2005,Kharif     ,Moong(Green Gram),1500,73,26,12733,Sandy loam,1,167.9,12
Telangana ,ADILABAD,2005,Kharif     ,Onion,400,73,26,38,Sandy loam,1,409.1,16
Telangana ,ADILABAD,2005,Kharif     ,Other Kharif pulses,900,73,26,1715,Sandy soil,1,179.5,6
Telangana ,ADILABAD,2005,Kharif     ,Rice,1700,73,26,69284,Clay Soil,1,213.3,60
Telangana ,ADILABAD,2005,Kharif     ,Sesamum,600,73,26,1951,Sandy loam,1,137.9,2
Telangana ,ADILABAD,2005,Kharif     ,Soyabean,550,73,26,76889,loamy soil,1,364.4,3
Telangana ,ADILABAD,2005,Kharif     ,Urad,120,73,26,17504,Sandy loam,1,58,2
Telangana ,ADILABAD,2005,Rabi       ,Bajra,400,73,26,779,Sandy soil,1,167.9,1
