State_Name,District_Name,Crop_Year,Season,Crop,Humidity,Temperature,Fertilizers,Area,Production,Type_ of _Soil ,Cost_ of_ Prediction
Telangana ,ADILABAD,2004,Kharif     ,Arhar/Tur,73,26,0,36468,15499, clay loams,103.3
Telangana ,ADILABAD,2004,Kharif     ,Castor seed,73,26,1,513,2,well drained soil,220.9
Telangana ,ADILABAD,2004,Kharif     ,Cotton(lint),73,26,1,177911,6066,Sandy Soil,310.8
Telangana ,ADILABAD,2004,Kharif     ,Dry chillies,73,26,1,6622,134,Sandy soil,160.9
Telangana ,ADILABAD,2004,Kharif     ,Gram,73,26,1,102,25,Sandy soil,182.5
Telangana ,ADILABAD,2004,Kharif     ,Groundnut,73,26,1,168,1,Sandy loam,195.7
Telangana ,ADILABAD,2004,Kharif     ,Horse-gram,73,26,1,10,1,Sandy  soil,178.4
Telangana ,ADILABAD,2004,Kharif     ,Jowar,73,26,1,27163,1,Clay soil,121.8
Telangana ,ADILABAD,2004,Kharif     ,Maize,73,26,1,20919,990,Clay soil,286
Telangana ,ADILABAD,2004,Kharif     ,Moong(Green Gram),73,26,1,12037,1,Sandy loam,167.9
Telangana ,ADILABAD,2004,Kharif     ,Other Kharif pulses,73,26,1,1536,2,Sandy soil,179.5
Telangana ,ADILABAD,2004,Kharif     ,Rice,73,26,1,35637,29,Clay Soil,213.3
Telangana ,ADILABAD,2004,Kharif     ,Sesamum,73,26,1,1222,1,Sandy soil,137.9
Telangana ,ADILABAD,2004,Kharif     ,Soyabean,73,26,1,58185,3,loamy soil,364.4
Telangana ,ADILABAD,2004,Kharif     ,Sunflower,73,26,1,2974,9,Sandy soil,85.6
Telangana ,ADILABAD,2004,Kharif     ,Urad,73,26,1,19024,1,Sandy loam,58
Telangana ,ADILABAD,2004,Rabi       ,Arhar/Tur,73,26,1,3342,1420, clay loams,103.3
Telangana ,ADILABAD,2004,Rabi       ,Bajra,73,26,1,1230,1,Sandy soil,167.9
Telangana ,ADILABAD,2004,Rabi       ,Dry chillies,73,26,1,561,158,Sandy soil,160.9
Telangana ,ADILABAD,2004,Rabi       ,Gram,73,26,1,6998,90,Sandy soil,182.5
Telangana ,ADILABAD,2004,Rabi       ,Groundnut,73,26,1,3978,4,Sandy loam,195.7
Telangana ,ADILABAD,2004,Rabi       ,Horse-gram,73,26,1,1806,1,Sandy  soil,178.4
Telangana ,ADILABAD,2004,Rabi       ,Jowar,73,26,1,65999,4,Clay soil,121.8
Telangana ,ADILABAD,2004,Rabi       ,Linseed,73,26,1,3352,8,well drained soil,48.8
Telangana ,ADILABAD,2004,Rabi       ,Maize,73,26,1,5598,1149,Clay soil,286
Telangana ,ADILABAD,2004,Rabi       ,Moong(Green Gram),73,26,1,6760,2,Sandy loam,167.9
Telangana ,ADILABAD,2004,Rabi       ,Onion,73,26,1,379,13,Sandy loam,409.1
Telangana ,ADILABAD,2004,Rabi       ,Other  Rabi pulses,73,26,1,1078,1,Sandy  soil,239.3
Telangana ,ADILABAD,2004,Rabi       ,Rapeseed &Mustard,73,26,1,55,1,loamy soil,152.5
Telangana ,ADILABAD,2004,Rabi       ,Rice,73,26,1,3984,46,Clay Soil,213.3
Telangana ,ADILABAD,2004,Rabi       ,Safflower,73,26,1,546,2,well drained soil,42.1
Telangana ,ADILABAD,2004,Rabi       ,Sesamum,73,26,1,11598,1,Sandy soil,137.9
Telangana ,ADILABAD,2004,Rabi       ,Sunflower,73,26,1,2959,18,Sandy soil,85.6
Telangana ,ADILABAD,2004,Rabi       ,Urad,73,26,1,1452,1,Sandy loam,58
Telangana ,ADILABAD,2004,Rabi       ,Wheat,73,26,1,2895,1,Clay loam,140.1
Telangana ,ADILABAD,2004,Whole Year ,Banana,73,26,1,71,21,Sandy Soil,339.4
Telangana ,ADILABAD,2004,Whole Year ,Cashewnut,73,26,1,24,1,Sandy Soil,183.1
Telangana ,ADILABAD,2004,Whole Year ,Coriander,73,26,1,1500,1,well drained soil,261.3
Telangana ,ADILABAD,2004,Whole Year ,Garlic,73,26,1,138,25,Sandy loam,308.2
Telangana ,ADILABAD,2004,Whole Year ,Sugarcane,73,26,1,131,176,Sandy loam,144.3
Telangana ,ADILABAD,2004,Whole Year ,Sweet potato,73,26,1,6,12,Clay Soil,88.1
Telangana ,ADILABAD,2004,Whole Year ,Tobacco,73,26,1,2,3,Sandy clay,140.9
Telangana ,ADILABAD,2004,Whole Year ,Turmeric,73,26,1,6407,5,Clay soil,200.2
Telangana ,ADILABAD,2005,Kharif     ,Arhar/Tur,73,26,0,35993,23359, clay loams,103.3
Telangana ,ADILABAD,2005,Kharif     ,Castor seed,73,26,1,774,2,well drained soil,220.9
Telangana ,ADILABAD,2005,Kharif     ,Cotton(lint),73,26,1,159415,8514,Sandy Soil,310.8
Telangana ,ADILABAD,2005,Kharif     ,Dry chillies,73,26,1,6250,286,Sandy soil,160.9
Telangana ,ADILABAD,2005,Kharif     ,Groundnut,73,26,1,86,6,Sandy loam,195.7
Telangana ,ADILABAD,2005,Kharif     ,Jowar,73,26,1,24420,15,Clay soil,121.8
Telangana ,ADILABAD,2005,Kharif     ,Maize,73,26,1,20852,1554,Clay soil,286
Telangana ,ADILABAD,2005,Kharif     ,Mesta,73,26,1,22,64,loamy soil,52.2
Telangana ,ADILABAD,2005,Kharif     ,Moong(Green Gram),73,26,1,12733,12,Sandy loam,167.9
Telangana ,ADILABAD,2005,Kharif     ,Onion,73,26,1,38,16,Sandy loam,409.1
Telangana ,ADILABAD,2005,Kharif     ,Other Kharif pulses,73,26,1,1715,6,Sandy soil,179.5
Telangana ,ADILABAD,2005,Kharif     ,Rice,73,26,1,69284,60,Clay Soil,213.3
Telangana ,ADILABAD,2005,Kharif     ,Sesamum,73,26,1,1951,2,Sandy loam,137.9
Telangana ,ADILABAD,2005,Kharif     ,Soyabean,73,26,1,76889,3,loamy soil,364.4
Telangana ,ADILABAD,2005,Kharif     ,Urad,73,26,1,17504,2,Sandy loam,58
Telangana ,ADILABAD,2005,Rabi       ,Bajra,73,26,1,779,1,Sandy soil,167.9
Telangana ,ADILABAD,2005,Rabi       ,Dry chillies,73,26,1,575,374,Sandy soil,160.9
Telangana ,ADILABAD,2005,Rabi       ,Gram,73,26,1,9199,148,Sandy soil,182.5
Telangana ,ADILABAD,2005,Rabi       ,Groundnut,73,26,1,4188,6,Sandy loam,195.7
Telangana ,ADILABAD,2005,Rabi       ,Horse-gram,73,26,1,859,2,Sandy  soil,178.4
Telangana ,ADILABAD,2005,Rabi       ,Jowar,73,26,1,57107,25,Clay soil,121.8
Telangana ,ADILABAD,2005,Rabi       ,Linseed,73,26,1,3053,10,well drained soil,48.8
Telangana ,ADILABAD,2005,Rabi       ,Maize,73,26,1,6301,1579,Clay soil,286
Telangana ,ADILABAD,2005,Rabi       ,Moong(Green Gram),73,26,1,3022,17,Sandy loam,167.9
Telangana ,ADILABAD,2005,Rabi       ,Onion,73,26,1,496,19,Sandy loam,409.1
Telangana ,ADILABAD,2005,Rabi       ,Other  Rabi pulses,73,26,1,874,3,Sandy  soil,239.3
Telangana ,ADILABAD,2005,Rabi       ,Rice,73,26,1,9466,100,Clay Soil,213.3
Telangana ,ADILABAD,2005,Rabi       ,Safflower,73,26,1,493,2,well drained soil,42.1
